time,typ1,typ2,typ3,const1,const2
6/1/2025 0:30,0.1248,0.1349,0.2266,0.2,0.2
6/1/2025 1:30,0.1086,0.1193,0.0342,0.2,0.2
6/1/2025 2:30,0.1022,0.1132,0.0269,0.2,0.2
6/1/2025 3:30,0.0917,0.1079,0.0288,0.2,0.2
6/1/2025 4:30,0.1087,0.107,0.0377,0.2,0.2
6/1/2025 5:30,0.1081,0.1052,0.0266,0.2,0.2
6/1/2025 6:30,0.1687,0.1263,0.0496,0.2,0.2
6/1/2025 7:30,0.1358,0.1421,0.1613,0.2,0.2
6/1/2025 8:30,0.1202,0.1731,0.3097,0.6,0.4
6/1/2025 9:30,0.1349,0.1601,0.2959,0.6,0.4
6/1/2025 10:30,0.1552,0.2085,0.0948,0.6,0.4
6/1/2025 11:30,0.3073,0.2729,0.4881,0.6,0.4
6/1/2025 12:30,0.2943,0.3192,0.5278,0.6,0.4
6/1/2025 13:30,0.2112,0.3313,0.4102,0.6,0.4
6/1/2025 14:30,0.2689,0.3443,0.2815,0.6,0.4
6/1/2025 15:30,0.2317,0.3192,0.1819,0.6,0.4
6/1/2025 16:30,0.2336,0.2845,0.0786,0.6,0.4
6/1/2025 17:30,0.2497,0.2815,0.1404,0.6,0.8
6/1/2025 18:30,0.6157,0.4779,0.8073,0.6,0.8
6/1/2025 19:30,0.8454,0.7507,1.511,0.6,0.8
6/1/2025 20:30,0.5663,0.6146,0.8293,0.6,0.8
6/1/2025 21:30,0.4738,0.5254,0.6501,0.6,0.8
6/1/2025 22:30,0.4426,0.4668,0.4698,0.6,0.2
6/1/2025 23:30,0.3018,0.2947,0.3597,0.2,0.2
7/1/2025 0:30,0.1243,0.1349,0.2703,0.2,0.2
7/1/2025 1:30,0.117,0.1193,0.0718,0.2,0.2
7/1/2025 2:30,0.1123,0.1132,0.0459,0.2,0.2
7/1/2025 3:30,0.1024,0.1079,0.0462,0.2,0.2
7/1/2025 4:30,0.1033,0.107,0.0457,0.2,0.2
7/1/2025 5:30,0.1007,0.1052,0.0511,0.2,0.2
7/1/2025 6:30,0.1042,0.1263,0.026,0.2,0.2
7/1/2025 7:30,0.1257,0.1421,0.2021,0.2,0.2
7/1/2025 8:30,0.1661,0.1731,0.3321,0.6,0.4
7/1/2025 9:30,0.1408,0.1601,0.3646,0.6,0.4
7/1/2025 10:30,0.1396,0.2085,0.4569,0.6,0.4
7/1/2025 11:30,0.1886,0.2729,0.5084,0.6,0.4
7/1/2025 12:30,0.2933,0.3192,0.3038,0.6,0.4
7/1/2025 13:30,0.2606,0.3313,0.0266,0.6,0.4
7/1/2025 14:30,0.2961,0.3443,0.0267,0.6,0.4
7/1/2025 15:30,0.2738,0.3192,0.0424,0.6,0.4
7/1/2025 16:30,0.2333,0.2845,0.2981,0.6,0.4
7/1/2025 17:30,0.2117,0.2815,0.1093,0.6,0.8
7/1/2025 18:30,0.3647,0.4779,0.5082,0.6,0.8
7/1/2025 19:30,0.7814,0.7507,0.9053,0.6,0.8
7/1/2025 20:30,0.588,0.6146,0.7405,0.6,0.8
7/1/2025 21:30,0.4797,0.5254,0.5748,0.6,0.8
7/1/2025 22:30,0.4901,0.4668,0.3529,0.6,0.2
7/1/2025 23:30,0.2993,0.2947,0.2478,0.2,0.2
8/1/2025 0:30,0.1264,0.1349,0.2394,0.2,0.2
8/1/2025 1:30,0.1218,0.1193,0.0564,0.2,0.2
8/1/2025 2:30,0.1235,0.1132,0.0389,0.2,0.2
8/1/2025 3:30,0.1182,0.1079,0.0327,0.2,0.2
8/1/2025 4:30,0.1083,0.107,0.0254,0.2,0.2
8/1/2025 5:30,0.1054,0.1052,0.0369,0.2,0.2
8/1/2025 6:30,0.1073,0.1263,0.0243,0.2,0.2
8/1/2025 7:30,0.1526,0.1421,0.0283,0.2,0.2
8/1/2025 8:30,0.1307,0.1731,0.3472,0.6,0.4
